<meta message midi_port port=0 time=0>
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=36 velocity=0 time=3
note_on channel=9 note=42 velocity=74 time=24
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=42 velocity=78 time=29
note_on channel=9 note=40 velocity=0 time=10
note_on channel=9 note=42 velocity=0 time=5
note_on channel=9 note=36 velocity=119 time=33
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=42 velocity=74 time=26
note_on channel=9 note=36 velocity=0 time=8
note_on channel=9 note=42 velocity=0 time=7
note_on channel=9 note=40 velocity=127 time=33
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=54 velocity=100 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=42 velocity=68 time=24
note_on channel=9 note=54 velocity=0 time=13
note_on channel=9 note=40 velocity=0 time=0
note_on channel=9 note=42 velocity=0 time=3
note_on channel=9 note=36 velocity=113 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=42 velocity=78 time=24
note_on channel=9 note=36 velocity=0 time=8
note_on channel=9 note=42 velocity=0 time=8
note_on channel=9 note=40 velocity=121 time=32
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=42 velocity=76 time=25
note_on channel=9 note=40 velocity=0 time=12
note_on channel=9 note=42 velocity=0 time=5
note_on channel=9 note=36 velocity=108 time=31
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=42 velocity=72 time=24
note_on channel=9 note=36 velocity=0 time=8
note_on channel=9 note=42 velocity=0 time=7
note_on channel=9 note=40 velocity=127 time=33
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=54 velocity=106 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=54 velocity=0 time=22
note_on channel=9 note=42 velocity=68 time=4
note_on channel=9 note=40 velocity=0 time=4
note_on channel=9 note=42 velocity=0 time=11
note_on channel=9 note=36 velocity=119 time=33
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=42 velocity=64 time=25
note_on channel=9 note=36 velocity=0 time=8
note_on channel=9 note=42 velocity=0 time=9
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=42 velocity=76 time=26
note_on channel=9 note=40 velocity=0 time=12
note_on channel=9 note=42 velocity=0 time=4
note_on channel=9 note=36 velocity=102 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=42 velocity=78 time=28
